Прайс на дату: 10.03.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Кукур. пал. неглаз. КРАБІВ 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;115.00;115.00
Кукур. пал. неглаз. ПІЦИ 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;419.00;419.00
Кукур. пал. неглаз. САЛЯМІ 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;525.00;525.00
Кукур. пал. неглаз. СИР 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;522.00;522.00
Кукур. пал. неглаз. ЦИБУЛІ 45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;125.00;125.00
Кукур. пал. неглаз.ЧЕРВОНА ІКРА  45г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;400.00;400.00
Кукуруд палич неглаз солод МОЛОЧНІ300г*7/ТМ ОТТІМО;шт;1;16.80;16.80;147.00;147.00
Кукурудз. палички солодкі неглаз.400г/7штТМ ОТТІМО;шт;1;17.48;17.48;1.00;1.00
Кукурудз. палички солодкі неглаз.60г*40/ТМ ОТТІМО;шт;1;3.78;3.78;151.00;151.00
Кукурудзяні палички МОЛОЧНІ 165г*25/ТМ ОТТІМО;шт;1;10.75;10.75;35.00;35.00
Кукурудзяні палички МОЛОЧНІ 55г*30 /ТМ ОТТІМО;шт;1;4.28;4.28;70.00;70.00
Повітряні зерна кук.СОЛОДКІ негл. 50г*30/ТМ ОТТІМО;шт;1;7.22;7.22;137.00;137.00
Повітряні зерна кук.СОЛОДКІ негл..20г*50/ТМ ОТТІМО;шт;1;3.44;3.44;241.00;241.00
Повітряні зерна кук.СОЛОНІ негл. 20г*50/ТМ ОТТІМО;шт;1;3.44;3.44;400.00;400.00
Повітряні зерна кук.СОЛОНІ негл. 50г*30/ТМ ОТТІМО;шт;1;7.22;7.22;238.00;238.00
ПАРА ПЕРЦІВ;;;;;;
"АКЦІЯ!Лимонна кислота 20гр/300 в ящ. ""Пара перців""";шт;1;0.01;0.01;2.00;2.00
"Лавровий лист мелений 20гр/240 в ящ. ""Пара перців""";шт;1;1.50;1.50;222.00;222.00
МАНДРИ;;;;;;
"Перець духмяний горошок15гр/20уп./200""Мандри""";шт;1;3.36;3.36;96.00;96.00
"Перець чорний мелений 20гр/20уп./240 ""Мандри""";шт;1;2.98;2.98;15.00;15.00
"Суміш перців  20гр/160 в ящ. ""Пара перців""";шт;1;2.00;2.00;151.00;151.00
CARA MIX;;;;;;
Гірчичний порошок 90г/ Cara Mix;шт;1;1.85;1.85;39.00;39.00
Лавровий лист (газет Упак) 20гр(50шт);шт;1;2.30;2.30;20.00;20.00
Приправа універсальна смакова грибна 90гр(40шт);шт;1;3.46;3.46;20.00;20.00
"Чай ""За Динамо"" чорний  Блек Хіт 25 пак.1/40";шт;1;17.98;17.98;61.00;61.00
Світ Приправ;;;;;;
Пасхальна етикетка Біблійні сюжети Цвет/2000шт;шт;1;1.16;1.16;675.00;675.00
Пасхальна етикетка Винтаж Цвет/2000 шт;шт;1;1.16;1.16;487.00;487.00
Пасхальна етикетка Гжель Цвет/2000 шт;шт;1;1.16;1.16;814.00;814.00
Пасхальна етикетка Жостово Цвет/2000 шт;шт;1;1.16;1.16;837.00;837.00
Пасхальна етикетка Ікони Цвет/2000шт;шт;1;1.16;1.16;61.00;61.00
Пасхальна етикетка Петриківка Цвет/2000шт;шт;1;1.16;1.16;900.00;900.00
Пасхальна етикетка Церкви Цвет/2000шт;шт;1;1.16;1.16;244.00;244.00
Пасхальна етикетка Янголятка Цвет/2000шт;шт;1;1.16;1.16;91.00;91.00
Пасхальні візерунки для яєць Золото Цвет / 500шт;шт;1;1.93;1.93;128.00;128.00
Пасхальні візерунки для яєць Срібло Цвет / 500шт;шт;1;1.93;1.93;291.00;291.00
ВАВРИК ТМ;;;;;;
Baton Chio Chio цукерка 2,0 кг Vavryk&Co;кг;2;63.67;127.33;18.00;9.00
Baton Chio CHOKO цукерка 2,0 кг Vavryk&Co;кг;2;69.90;139.81;8.00;4.00
Коко Джамбо цукерка  2,0 кг Vavryk&Co;кг;2;97.11;194.22;74.00;37.00
Султан Тан цукерка  2,0 кг Vavryk&Co;кг;2;84.08;168.16;22.00;11.00
ЧІО ЧІО НАТ Батончик глазуров. 2,0 кг Vavryk&Co;кг;2;75.90;151.79;52.00;26.00
ЧІО ЧІО САН 2,0 кг Vavryk&Cо;кг;2;75.33;150.66;2.00;1.00
