Прайс на дату: 09.12.18;;;;;;
;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расфас.)
КарамельФруттіно Ч/смородина 2,5кг/50/1 Ласощі/9міс;кг;2.5;48.36;120.90;32.50;13.00
Фруктово-ягідна в цукрі 2,5кг/ Ласощі/міс;кг;2.5;46.28;115.70;5 00;2.00
ЛІСОВА КАЗКА;;;;;;
WHIMSY банан (Смешарики) ВАФ.ц-ки 2.2кг /ТМ ЛК;кг;2 2;76.86;169.09;39.60;18.00
WHIMSY зі смаком Паннакотти ц-ки 2,2кг /ТМ ЛК;кг;2.2;71.21;156.66;13.20;6.00
WHIMSY зі смаком Шарлотки ц-ки 2,2кг /ТМ ЛК;кг;2.2;71.21;156.66;11.00;5.00
WHIMSY молочні (Фіксики) ВАФ.ц-ки 2,2кг /ТМ ЛК;кг;2.2;76.86;169.09;118.80;54.00
АКЦІЯ Гулівер Мандрівник ваф. цукерки 2,2кг ЯМ ЛК;кг;2.2;0.01;0.02;2.20;1.00
Вафлі Артек ЕКРАН 3,5 кг ЯМ ЛК;кг;3.5;50.46;176.63;24.50;7.00
Вафлі Артек Харківський 3,5 кг ЯМ ЛК;кг;3.5;48.45;169.58;35.00;10.00
Вафлі Лісові з аром, лимона 3,5 кг /ТМ ЛК;кг;3.5;49.07;171.75;35.00;10:00
Ведмедик клишоногий цукерки ваф.2,2кг екр. /ТМ ЛК;кг;2.2;71.21;156.66;149.60;68:00
Веселий гулівер цукерки екран 2,2кг ЯМ ЛК;кг;2.2;69.27;152.40;37.40;17.00
Гулівер Мандрівник ваф. цукерки 2,2кг ЯМ ЛК;кг;2.2;64.24;141.33;149.60;68.00
Драже кремове 3*1 кг/Зкг ЯМ ЛК;кг;1;169.43;169.43;120.00;120.00
Драже молочно-шоколадим 4*1кг/4кгЯМ ЛК;кг;1;263.08;263.08;3.00;3.00
Зефір жув. Тучки ароматиз. 1,05кг ЯМ ЛК;кг;1.05;101.63;106.71;15.75;15.00
Зефір жув. Тучки-Штучки аром. 1,2кг ЯМ ЛК;кг;1.2;92.42;110.90;45.60;38.00
Зірочки Бекон фіг.вир.солоні Mr.CORN 1,2кг ЯМ ЛК;кг;1.2;79.72;95.67;6.00;5.00
Кільця ГРИБИ фіг.вир.солоні Mr.CORN 1,2кг ЯМ ЛК;кг;1.2;79.72;95.67;30.00;25.00
Крекер брезель з сіллю 1,5кг ЯМ ЛК;кг;1.5;53.64;80.46;31.50;21.00
Кульок МЯСО фіг.вир.солоні Mr.CORN 1,2кг ЯМ ЛК;кг;1.2;79.72;95.67;19.20;16.00
Лісова казка цукерки ваф.2,2кг ЯМ ЛК;кг;2.2;67.57;148.65;8.80;4.00
Мультісі КОКОС-ВЕРШКИ цукерки ваф.екр.2,2кг/ТМ ЛК;кг;2.2;71.21;156.66;37.40;17.00
Новорічна ніч вафельн. ц-ки глазур. 2,2кг ЯМ ЛК;кг;2.2;71.21;156.66;193.60;88.00
Печиво Союзне ваг.3,0кг ЯМ ЛК;кг;3;55.81;167.42;24.00;8.00
Подушечки круп'яні банан 1,8кгЯМЛК;кг;1.8;52.32;94.18;28.80;16.00
Подушечки круп'яні шоколад 1,8кг ЯМ ЛК;кг;1.8;52.32;94.18;27.00;15.00
Супермультісі асорті цукерки 6*1,0кг/6кг ЯМ ЛК;кг;1;74.77;74.77;17.00;17.00
Трубочки ваф. Молочні 2,5кг ЯМ ЛК;кг;2.5;60.60;151.51;40.00;16.00
Трубочки круп Чорного шок. та молока 2,0кг ЯМ ЛК;кг;2;60.59;121.18;12.00;6.00
Трубочки круп. Кави та молока 2,0кг ЯМ ЛК;кг;2;60.59;121.18;10.00;5.00
Трубочки круп. Чорного шок. та вишні 2,0кг ЯМ ЛК;кг;2;60.60;121.21;12.00;6.00
Трубочки круп. ШОКОЛАД 2,6кг ЯМ ЛК;кг;2.6;75.77;197.01;33.80;13.00
Трубочки круп.ПЛОМБІР 1,7кг ЯМ ЛК;кг;1.7;57.28;97.37;8.50;5.00
Трубочки круп.ПЛОМБІР 2,6кг ЯМ ЛК;кг;2.6;75.77;197.01;2.60;1.00
Трубочки круп.ШОКОЛАД 1,7кг ЯМ ЛК;кг;1.7;57.28;97.37;11.90;7.00
Тузик цукерки ваф.2,2кг ЯМ ЛК;кг;2.2;67.57;148.65;158.40;72.00
"Фруктозаврики асорті цукерки жув.6*1;6кг ЯМ ЛК";кг;1;77.40;77.40;23.00;23.00
Цукерки жуйні ФіксіМіх 6*1 кг/бкг ЯМ ЛК;кг;1;90.48;90.48;33.00;33.00
Чарівне більчатко з арах, ц-ки екран 2,2кг ЯМ ЛК;кг;2.2;76.86;169.09;165.00;75.00
Чарівниця зима ваф. ц-ки глазур. 2,2кг ЯМ ЛК;кг;2.2;71.21;156.66;176.00;80.00
Шиколетто згущ.молоко цукерки ваф.2,2кг ЯМ ЛК;кг;2.2;67.57;148.65;83.60;38.00
Шиколетто какао цукерки ваф.2,2кг /ТМ ЛК;кг;2.2;67.57;148.65;171.60;78.00
Яринка цукерки верш-полун. смак 2.2кг ЯМ ЛК;кг;2.2;67.57;148.65;110.00;50.00
яфасовка;;;;;;
Веселий гулівер цукерки 12* 0,500 кг ЯМ ЛК;шт;1;42.76;42.76;32.00;32.00
"Драже молочно-шоколадим см. 20*150г;3кг ЯМ ЛК";шт;1;49.07;49.07;52.00;52.00
"Драже молочно-шоколадим см. 50*50г;2,5кг ЯМ ЛК";шт;1;18.19;18.19;321.00;321.00
Зефір жув. Mini Mallows пломбір 4*0.8кг*3,2кЯМ ЛК;шт;1;132.63;132.63;4.00;4.00
Зефір жув. Вес.пружин.ПОЛУН.12*0,200/2.4кг ЯМ ЛК;шт;1;18.48;18.48;59.00;59.00
Зефір жув. Вес.пружин.ПОЛУН.20*0,075/1,5кг ЯМ ЛК;шт;1;7.62;7.62;26.00;26.00
"Зефір жув. Тучки-штучки аромат. 12*200г;2,4кгЯМ ЛК";шт;1;18.48;18.48;39.00;39.00
"Зефір жув. Тучки-штучки аромат.20*75г; 1,5кг ЯМ ЛК";шт;1;7.62;7.62;115.00;115.00
Зефір жув.Барбекю ван.8*0,25кг /2кгЯМ ЛК;шт;1;24.26;24.26;2.00;2.00
"Зефір жув.Дозки Confectum ар.16*62.5г; 1 кг ЯМ ЛК";шт;1;5.81;5.81;17.00;17.00
"Зефір жув.Дозки аромат.20*50г; 1 кг ЯМ ЛК";шт;1;5.81;5.81;28.00;28:00
Зефір жув.Зефирозиво пол.+бан4*(20*15г)1,2кг/ТМ ЛК;блок;1;68.11;68.11;42.00;42.00
Зефір жув.Пружинка ПЕРСИК 4-(20*15г) 1,2кг /ТМ ЛК;блок;1;61.92;61.92;20.00;20.00
Зефір жув.Пружинка ПОЛУНИЦЯ4-(20*15г) 1,2кг ЯМ ЛК;блок;1;61.92;61.92;18.00;18.00
Зефір жув.Фіксі Mallows абрикос 24*30г*0,720/ТМ ЛК;шт;1;4.64;4.64;186.00;186.00
Зефір жув.Фіксі Mallows пломбір 24*30г*0,720ЯМ ЛК;шт;1;4.64;4.64;239.00;239.00
Зефір жув.Фіксі Mallows полун. 24*30г*0,720АТМ ЛК;шт;1;4.64;4.64;229.00;229.00
Зефір.жув. Крейдочки суниця (12*0,2г) 2,4кгГГМ ЛК;шт;1;18.48;18.48;10.00;10.00
Зефір.жув. Крейдочки суниця 20*0,075г, 1,5кг/ТМ ЛК;шт;1;7.62;7.62;63.00;63.00
Крекер брезель СІЛЬ 20*200 г*4кг/ТМ ЛК;шт;1;13.39;13.39;63.00;63.00
Крекер брезель солодкий 25*40 г*1кг/ТМ ЛК;шт;1;4.02;4.02;25.00;25.00
"Набір подарунк. ""Ліхтарик""4*0,5кг; 2кг/ТМ ЛК";шт;1;98.92;98.92;16.00;16.00
"Набір подарунк. ""Фіксики"" 6*275г;1,65кг/ТМ ЛК";шт;1;63.93;63.93;13.00;13.00
"Набір подарунк.""Теремок"" 6*350г; 2,1кг/ТМ ЛК";шт;1;68.58;68.58;10.00;10.00
"Набір подарунк.""Ялинка"" 16*200г; 3,2кг/ТМ ЛК";шт;1;46.59;46.59;24.00;24.00
Торт НАТУСІК фундук 6*(12*45г)-3,24кг /ТМ ЛК;блок;1;63.16;63.16;7.00;7.00
Тортік НАТУТІК з фундуком 6*(12*45г)-3,24кг /ТМ ЛК;блок;1;63.16;63.16;5.00;5.00
"Фартики -змійки цукерки желе ТУБ 6*0,5;3кг /ТМ ЛК";шт;1;59.79;59.79;5.00;5.00
"Фартики -черв'яки цукерки желе 6*0,5;3кг /ТМ ЛК";шт;1;59.79;59.79;5.00;5.00
Цукерки жуйні ФіксіМіх (8-0.6кг) 4,8кг/ТМ ЛК;блок;1;152.32;152.32;14.00;14.00
СВІТ КОМПАНІ;;;;;;
Американо печиво 2.5 кг ТМ Світ Компані;кг;2.5;52.32;130.80;35.00;14.00
Американо шоколад печиво 2,5 кгТМ Світ Компані;кг;2.5;55.01;137.53;37.50;15.00
Гармонія глазур, печиво 3,0 кг ТМ Світ Компані;кг;3;59.35;178.04;60.00;20.00
До чаю пряжене молоко печиво 4 кг ТМ Світ Компані;кг;4;35.24;140.94;100.00;25.00
До чаю шоколадне печиво 4 кг ТМ Світ Компані;кг;4;39.91;159.62;80.00;20.00
Дует печиво 4,0 кг ТМ Світ Компані;кг;4;43.12;172.48;100.00;25.00
Кільце глазуров. печиво 3,0 кг ТМ Світ Компані;кг;3;59.35;178.04;60.00;20.00
Курабье печиво 3,0 кг ТМ Світ Компані;кг;3;43.08;129.24;60.00;20.00
Ласуня з банан нач. печиво 4кг ТМ Світ Компані;кг;4;40.96;163.85;100.00;25.00
Ласуня з ваніл. начин, печиво 4кг ТМ Світ Компані;кг;4;40.96;163.85;60.00;15.00
Ласуня з шокол.нач. печиво 4 кг ТМ Світ Компані;кг;4;41.14;164.57;80.00;20.00
Ласуня шоколадне печиво 2,5 кг ТМ Світ Компані;кг;2.5;63.78;159.45;47.50;19.00
Марсель печиво 3,0 кг ТМ Світ Компані;кг;3;65.61;196.84;60.00;20.00
Обжора з полунич. нач.печиво 4,0кг ТМ Світ Компані;кг;4;36.85;147.39;80.00;20.00
Сніжок печиво 3,0 кг ТМ Світ Компані;кг;3;41.08;123.24;60.00;20.00
Столичне глазуров. печиво 3,0 кг ТМ Світ Компані;кг;3;56.92;170.75;60.00;20.00
Чародійка печиво 4,0 кг ТМ Світ Компані;кг;4;45.26;181.04;80.00;20.00
Чемпіон печиво 3,5 кг ТМ Світ Компані;кг;3.5;35.44;124.05;70.00;20.00
Ювілейне з горіхом печиво 4кг ТМ Світ Компані;кг;4;37.86;151.43;60.00;15.00
Ювілейне кокос печиво 4.0кг ТМ Світ Компані;кг;4;35.55;142.20;60.00;15.00
я Фасовка ;;;;;;
До чаю пряж. мол. печиво 0,185 кг ТМ Світ Компані;шт;1;6.75;6.75;70.00;10
Сергис;;;;;;
Антошка тістечко 2кг Сергис бОдн;кг;2;62.50;124.99;;
