Прайс на дату: 17.02.19;;;;;;
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
"Стріла Дніпровська цукер. 0,235кг КФ""Стимул""(318)";шт;1;51.02;51.02; ; 
"Щербет Гуцульський 0,300кг КФ""Стимул""(444)";шт;1;24.32;24.32; ; 
ТМ R&V(леденец);;;;;;
АКЦІЯ Льодяник Монпасье туб 30г (6шт/1уп) /ТМ R&V;блок;1;0.01;0.01;8.00;8.00
Асорті кольорове (60шт/1уп) /ТМ R&V;блок;1;246.25;246.25;3.00;3.00
Букви 30г 2-ох кол. (30шт/1уп) /ТМ R&V;блок;1;114.58;114.58;5.00;5.00
Дін Дон  в тубусі 30г (12шт/1уп) /ТМ R&V;блок;1;48.62;48.62;12.00;12.00
Зайчики кольорові  30г (30шт/1уп) /ТМ R&V;блок;1;118.24;118.24;4.00;4.00
Зайчики кольорові  30г (60шт/1уп) /ТМ R&V;блок;1;231.66;231.66;1.00;1.00
Звірята 1уп.  (60шт/1уп) /ТМ R&V;блок;1;231.66;231.66;1.00;1.00
ЛІХТАРИКИ вагові 1кг/ТМ R&V;блок;1;103.74;103.74;19.00;19.00
Льодяник кольор.СМАЙЛИК 30г (40шт/1уп) /ТМ R&V;блок;1;153.92;153.92;4.00;4.00
Льодяник Монпасье 100г (9шт/1уп) /ТМ R&V;блок;1;110.21;110.21;8.00;8.00
Льодяник Монпасье 30г (36шт/1уп) /ТМ R&V;блок;1;146.86;146.86;19.00;19.00
Льодяник-ЛІХТАР Машина мала 12г(100шт/1уп) /ТМ R&V;блок;1;203.14;203.14;1.00;1.00
Льодяник-ЛІХТАРИКИ відерце 12г (150шт/1уп) /ТМ R&V;блок;1;232.70;232.70;7.00;7.00
Льодяник-ЛІХТАРИКИ кошичокМ 12г(150шт/1уп) /ТМ R&V;блок;1;204.75;204.75;4.00;4.00
Мемедики 30г (30шт/1уп) /ТМ R&V;блок;1;118.24;118.24;1.00;1.00
Півники 30г (30шт/1уп) /ТМ R&V;блок;1;118.24;118.24;1.00;1.00
Півники 80г + іграшка  (30шт/1уп) /ТМ R&V;блок;1;438.75;438.75;20.00;20.00
