Прайс на дату: 08.07.18;;;;;;
Name;unit;packaging ;priceForUnit;priceForPacaging;stockBalanceInUnit;stockBalanceInPacaging
Наименование;ед.изм;расф.;Цена с НДС за ед.;Цена с НДС за упаковку;Останок по складу (ед);Останок по складу (расф.)
Драже JOJO Помадка Мікс 12гр*24бл*24штФараон;блок;1;101.43;101.43;10.00;10.00
Драже Арас Фелікс БОН 12гр*12бл*24штФараон;блок;1;72.74;72.74;7.00;7.00
Драже Лав Бон (Тік-Так) Арас 14гр*24бл*18штФараон;блок;1;59.80;59.80;48.00;48.00
Драже Лав Бон Серце Арас 10гр*12бан*48штФараон;блок;1;126.80;126.80;5.00;5.00
Драже Олівець з драж Фелікс 15гр*12бл*24штФараон;блок;1;115.92;115.92;8.00;8.00
Драже Хіп Хоп Арас 15гр*12бл*24штФараон;блок;1;83.30;83.30;12.00;12.00
Драже Це Це Бон у блистері 22гр*12бл*24штФараон;блок;1;126.79;126.79;36.00;36.00
Жув цук Лімбо Асорті м'яка 20гр*8 банФараон;блок;1;145.60;145.60;12.00;12.00
Жув цук на палочці КРЕЙЗІ ТАТОО 8г*50шт*16блФараон;блок;1;89.66;89.66;9.00;9.00
Жуйка  Бай Балон Полуниця СОФТ 18гр*20бл*24шт;блок;1;76.08;76.08;20.00;20.00
Жуйка Волшеб. Шарики КАВУН 500гр*12бл Фараон;блок;1;96.00;96.00;5.00;5.00
